id,dni,nombres,especialidad,estado,institucion_id
309,63735650,Joaquin Benites Porras,Matematica,1,14
310,67489709,Romina Espinoza Reynoso,Matematica,1,14
311,62917183,Tomas Palomino Nolasco,Comunicacion,1,14
312,60999828,Catalina Rojas Bravo,Comunicacion,1,14
313,76956909,Joaquin Yupanqui Requena,Ciencia y Tecnologia,1,14
314,78285201,Xiomara Salazar Mejia,Ciencia y Tecnologia,1,14
315,79772475,Axel Huaman Acosta,Personal Social,1,14
316,74180586,Flavia Benites Meza,Personal Social,1,14
317,67224730,Pablo Espinoza Cueva,Ingles,1,14
318,72748244,Renata Alarcon Fuentes,Ingles,1,14
319,68875847,Sebastian Valdez Sandoval,Educacion Fisica,1,14
320,77992829,Samantha Gonzales Jauregui,Educacion Fisica,1,14
321,78523409,Liam Falcon Ochoa,Arte y Cultura,1,14
322,79372723,Estrella Chumpitaz Aliaga,Arte y Cultura,1,14
323,61537611,Piero Pariona Jauregui,Computacion,1,14
324,67811165,Renata Gonzales Trujillo,Computacion,1,14
