id,nombres,telefono,correo,parentesco,usuario_id
8031,Yolanda Huaman,927997624,yolanda.huaman@mail.com,Madre,3887
8032,Ana Quispe,935566010,ana.quispe@mail.com,Madre,3888
8033,Marco Flores,939127464,marco.flores@mail.com,Padre,3889
8034,Carmen Gutierrez,942560305,carmen.gutierrez@mail.com,Madre,3890
8035,Jorge Rios,997069904,jorge.rios@mail.com,Padre,3891
8036,Alberto Vasquez,912176998,alberto.vasquez@mail.com,Padre,3892
8037,Walter Torres,944537812,walter.torres@mail.com,Padre,3893
8038,Isabel Chavez,928784915,isabel.chavez@mail.com,Madre,3894
8039,Ana Mendez,910856822,ana.mendez@mail.com,Madre,3895
8040,Isabel Paredes,992924441,isabel.paredes@mail.com,Madre,3896
8041,Victor Herrera,977406294,victor.herrera@mail.com,Padre,3897
8042,Luis Silva,943878996,luis.silva@mail.com,Padre,3898
8043,Alberto Luna,950261914,alberto.luna@mail.com,Padre,3899
8044,Walter Espinoza,917531619,walter.espinoza@mail.com,Padre,3900
8045,Lucia Vargas,986072480,lucia.vargas@mail.com,Madre,3901
8046,Rosa Huanca,952209421,rosa.huanca@mail.com,Madre,3902
8047,Marco Ccallo,986060638,marco.ccallo@mail.com,Padre,3903
8048,Ana Mamani,956420476,ana.mamani@mail.com,Madre,3904
8049,Flor Apaza,953805532,flor.apaza@mail.com,Madre,3905
8050,Luis Condori,943077929,luis.condori@mail.com,Padre,3906
8051,Mercedes Soto,958412365,mercedes.soto@mail.com,Madre,3907
8052,Pedro Ramirez,967845091,pedro.ramirez@mail.com,Padre,3908
8053,Pedro Castillo,961705758,pedro.castillo@mail.com,Padre,3909
8054,Mario Pena,946024950,mario.pena@mail.com,Padre,3910
8055,Pedro Villanueva,943782566,pedro.villanueva@mail.com,Padre,3911
8056,Carlos Cruz,954589439,carlos.cruz@mail.com,Padre,3912
8057,Flor Cardenas,950323741,flor.cardenas@mail.com,Madre,3913
8058,Silvia Rojas,987293208,silvia.rojas@mail.com,Madre,3914
8059,Teresa Salazar,983233096,teresa.salazar@mail.com,Madre,3915
8060,Victor Montoya,964914054,victor.montoya@mail.com,Padre,3916
8061,Oscar Tapia,919927432,oscar.tapia@mail.com,Padre,3917
8062,Flor Reyes,924679315,flor.reyes@mail.com,Madre,3918
8063,Mercedes Navarro,967774765,mercedes.navarro@mail.com,Madre,3919
8064,Norma Rivera,969831384,norma.rivera@mail.com,Madre,3920
8065,Gladys Delgado,949652241,gladys.delgado@mail.com,Madre,3921
8066,Jose Benites,970726434,jose.benites@mail.com,Padre,3922
8067,Jose Sanchez,942737441,jose.sanchez@mail.com,Padre,3923
