id,dni,nombres,apellidos,fecha_nacimiento,estado,institucion_id
8941,62653163,Marcelo,Huaman Villegas,2018-04-11,1,14
8942,61326995,Ricardo,Quispe Cabanillas,2018-11-20,1,14
8943,67107089,David,Flores Infantes,2018-05-01,0,14
8944,78524707,Maite,Gutierrez Leon,2018-07-08,1,14
8945,76685857,Bruno,Rios Nolasco,2018-06-17,1,14
8946,72438793,Enrique,Rios Nolasco,2018-06-07,1,14
8947,74011595,Gabriel,Vasquez Carrion,2018-10-24,1,14
8948,72745307,Gonzalo,Vasquez Carrion,2018-06-08,1,14
8949,76461656,Emma,Torres Bustamante,2018-12-21,1,14
8950,61970720,Emma,Chavez Inga,2018-03-18,1,14
8951,65067714,Piero,Mendez Aliaga,2018-02-23,0,14
8952,60527870,Zoe,Paredes Figueroa,2018-11-16,1,14
8953,60561236,Alonso,Paredes Figueroa,2018-07-01,1,14
8954,63231757,Luana,Herrera Jauregui,2018-03-04,1,14
8955,72517533,Paola,Silva Cueva,2018-07-03,1,14
8956,61063155,Jimena,Luna Salvatierra,2018-11-28,1,14
8957,74559591,Alejandra,Espinoza Barreto,2018-02-16,1,14
8958,63199812,Priscila,Espinoza Barreto,2018-10-28,0,14
8959,69407757,Sebastian,Vargas Robles,2018-02-22,1,14
8960,73364596,Hugo,Huanca Huayta,2018-10-05,1,14
8961,71131006,Tatiana,Ccallo Caceres,2018-11-18,1,14
8962,62550749,Oscar,Mamani Campos,2018-04-27,1,14
8963,67655054,Patrick,Apaza Ibarra,2018-08-16,1,14
8964,79658706,Ricardo,Apaza Ibarra,2018-07-06,1,14
8965,72750683,Jimena,Condori Meza,2018-05-05,1,14
8966,72076827,Santiago,Soto Acosta,2018-05-15,1,14
8967,63465935,Aaron,Ramirez Otero,2018-09-14,1,14
8968,62842044,Victor,Castillo Valverde,2018-07-25,1,14
8969,65690258,Dulce,Castillo Valverde,2018-10-17,1,14
8970,69259743,Gael,Pena Gallegos,2018-03-14,1,14
8971,66561509,Lucia,Villanueva Saavedra,2018-10-20,1,14
8972,71231883,Ingrid,Cruz Requena,2018-06-15,1,14
8973,65960517,Gonzalo,Cardenas Espinosa,2018-08-11,0,14
8974,73184715,Jessica,Rojas Arce,2018-07-09,1,14
8975,75489471,Alonso,Salazar Carbajal,2018-01-24,1,14
8976,68120882,Romina,Montoya Bravo,2018-11-10,1,14
8977,73448787,Martin,Tapia Mendoza,2018-08-19,1,14
8978,72063807,Xiomara,Tapia Mendoza,2018-09-02,1,14
8979,61486350,Araceli,Reyes Porras,2017-03-21,1,14
8980,77135451,Nicolas,Navarro Segura,2017-05-08,1,14
8981,76792845,Luis,Rivera Cespedes,2017-11-19,1,14
8982,64753830,Dylan,Delgado Alcantara,2017-02-27,1,14
8983,66941315,Pablo,Delgado Alcantara,2017-08-26,1,14
8984,63861620,Esteban,Benites Trujillo,2017-01-26,1,14
8985,74306582,Fernanda,Sanchez Camacho,2017-06-18,1,14
8986,66189174,Mia,Sanchez Camacho,2017-07-21,1,14
8987,73047163,Karina,Pariona Estrada,2017-10-14,1,14
8988,62099291,Oliver,Pariona Estrada,2017-04-09,1,14
8989,76424356,Marco,Lopez Velarde,2017-02-09,1,14
8990,75363251,Dante,Choque Osorio,2017-06-12,1,14
8991,70246852,Gabriela,Diaz Miranda,2017-02-08,1,14
8992,74194826,Rafael,Fernandez Cabrera,2017-10-13,1,14
8993,65812795,Ivan,Fernandez Cabrera,2017-12-21,1,14
8994,76260777,Sophia,Vera Cano,2017-06-01,1,14
8995,74893193,Jose,Cordova Pinto,2017-07-23,1,14
8996,67399742,Dylan,Cordova Pinto,2017-10-01,1,14
8997,63798730,Lucia,Ruiz Fuentes,2017-09-17,0,14
8998,72309838,Paola,Ruiz Fuentes,2017-09-27,1,14
8999,68305783,Abril,Alarcon Vega,2017-12-27,1,14
9000,63938821,Catalina,Morales Ochoa,2017-08-28,1,14
9001,79727452,Regina,Morales Ochoa,2017-04-26,1,14
9002,61991718,Maite,Aquino Serrano,2017-04-26,1,14
9003,68970544,Liam,Gonzales Guerrero,2017-05-19,1,14
9004,64452366,Andrea,Carpio Lara,2017-11-05,1,14
9005,72588694,Patrick,Barrios Dominguez,2017-11-14,1,14
9006,69335704,Adrian,Barrios Dominguez,2017-07-17,1,14
9007,72019960,Catalina,Perez Blanco,2017-12-15,1,14
9008,69515804,Lucia,Medina Mora,2017-05-11,1,14
9009,75421005,Sophia,Salinas Heredia,2017-01-04,1,14
9010,60022680,Fabian,Salinas Heredia,2017-08-15,1,14
9011,72094204,Andrea,Palomino Solis,2017-02-21,1,14
9012,63060136,Mia,Huamani Villar,2017-07-21,1,14
9013,62615189,Valentina,Huamani Villar,2017-04-16,1,14
9014,64435062,Samantha,Zarate Correa,2017-07-23,1,14
9015,63436885,Piero,Zarate Correa,2017-07-03,0,14
9016,64793353,Romina,Lozano Mejia,2017-11-22,1,14
9017,65506837,Elias,Lozano Mejia,2016-01-20,1,14
9018,64698061,Celeste,Espejo Sandoval,2016-02-04,1,14
9019,62826917,Rafael,Romero Davila,2016-04-09,1,14
9020,77096740,Karla,Pinedo Alfaro,2016-04-17,1,14
9021,61831036,Hector,Pinedo Alfaro,2016-05-21,0,14
9022,62382767,Carlos,Arevalo Linares,2016-11-20,1,14
9023,78332672,Elias,Cubas Calderon,2016-07-12,1,14
9024,62028998,Bruno,Nunez Toledo,2016-04-02,1,14
9025,78004127,Mario,Tello Garay,2016-02-21,1,14
9026,70963920,Maite,Chambi Matos,2016-03-18,1,14
9027,62892821,Regina,Rosas Cisneros,2016-01-08,1,14
9028,64604063,Valeria,Aguirre Becerra,2016-02-01,1,14
9029,64259084,Lorena,Calle Cuevas,2016-03-12,0,14
9030,68823126,Paola,Jara Reynoso,2016-09-03,1,14
9031,79021542,Daniela,Pacheco Aranda,2016-08-28,1,14
9032,60412319,Roberto,Yupanqui Duran,2016-01-02,1,14
